MastC,Kclass,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
mast,0,0,0,0,0,0,0,0,0,0,0,0,0
mast,1,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
mast,2,210.3063558,220.114823,228.071055,233.9333059,237.523454,238.7324146,237.523454,233.9333059,228.071055,220.114823,210.3063558,198.9436789
mast,3,600,1400,1900,2335.450412,2598.637711,2760.408537,2809.450873,2744.274592,2573.256735,2313.615445,1989.436789,1628.989314
mast,4,190.9859317,252.4021576,318.3098862,384.2176148,445.6338407,498.3731494,538.8414444,564.280878,572.9577951,564.280878,538.8414444,498.3731494
mast,5,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
nonmast,0,0,0,0,0,0,0,0,0,0,0,0,0
nonmast,1,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
nonmast,2,59.55762857,84.02462454,114.591559,140.0410409,150.5268963,143.2394488,123.1583697,98.69137374,76.39437268,59.21482424,48.72896883,47.74648293
nonmast,3,3.16227766,4.690998232,18.67213879,38.19718634,56.01641636,65.33717673,63.66197724,53.45769005,39.4765495,25.46479089,13.15884983,3.838089463
nonmast,4,26.8890402,56.01641636,95.49296586,130.7049715,148.1813972,143.2394488,121.239325,92.11194882,63.66197724,39.4765495,22.0001238,15.91549431
nonmast,5,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
postmast,0,0,0,0,0,0,0,0,0,0,0,0,0
postmast,1,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
postmast,2,186.3720413,172.973426,159.1549431,145.3364602,131.9378449,119.3662073,108.0035304,98.19506322,90.23883116,84.3765803,80.78643215,79.57747155
postmast,3,1261.64358,914.7581972,610.8949543,365.6832754,186.5737933,100,50,40,39.4765495,25.46479089,13.15884983,3.838089463
postmast,4,445.6338407,384.2176148,318.3098862,252.4021576,190.9859317,138.246623,97.77832802,72.33889432,63.66197724,39.4765495,22.0001238,15.91549431
postmast,5,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
