MastC,Kclass,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
mast,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mast,1,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
mast,2,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
mast,3,45.7,43.8,45.7,52.0,65.3,89.8,127.2,151.2,127.2,89.8,65.3,52.0
mast,4,44.5,140.5,356.7,630.5,775.1,760.0,680.9,596.0,521.7,459.5,407.3,362.7
mast,5,415.9,571.8,771.3,1014.9,1296.0,1594.5,1871.9,2073.9,2148.6,2073.9,1871.9,1594.5
mast,6,44.5,140.5,356.7,630.5,775.1,760.0,680.9,596.0,521.7,459.5,407.3,362.7
nonmast,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonmast,1,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
nonmast,2,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
nonmast,3,45.7,43.8,45.7,52.0,65.3,89.8,127.2,151.2,127.2,89.8,65.3,52.0
nonmast,4,62.2,58.0,62.2,76.1,103.8,151.3,215.5,252.1,215.5,151.3,103.8,76.1
nonmast,5,18.3,17.5,18.3,20.8,26.1,35.9,50.9,60.5,50.9,35.9,26.1,20.8
nonmast,6,62.2,58.0,62.2,76.1,103.8,151.3,215.5,252.1,215.5,151.3,103.8,76.1
postmast,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postmast,1,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
postmast,2,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
postmast,3,45.7,43.8,45.7,52.0,65.3,89.8,127.2,151.2,127.2,89.8,65.3,52.0
postmast,4,62.2,58.0,62.2,76.1,103.8,151.3,215.5,252.1,215.5,151.3,103.8,76.1
postmast,5,1296.0,1014.9,771.3,571.8,415.9,300.1,220.7,174.4,50.9,35.9,26.1,20.8
postmast,6,62.2,58.0,62.2,76.1,103.8,151.3,215.5,252.1,215.5,151.3,103.8,76.1
